iso3,year,screened,dx_tb,dx_tb_bacconf
ARG,2021,2989,2,2
BFA,2022,175011,3885,225
CMR,2021,3038220,300857,10659
CMR,2022,5524064,181902,16041
CHN,2022,235459410,44080,
MAC,2021,5045,10,
COG,2022,250,20,10
CIV,2021,410188,1321,
CIV,2022,539044,1603,
GMB,2022,699,2,2
GHA,2021,9210,31,31
GHA,2022,8903,48,48
IND,2021,116649087,41306,41258
IDN,2022,122458,4953,
IDN,2021,50392,791,
IRL,2022,3485,3,
KOR,2021,184707,155,155
LSO,2022,5838,102,9
MWI,2022,105008,1438,634
MEX,2021,24250,1365,
MEX,2022,25636,1554,
MNG,2021,80520,210,128
MNG,2022,82314,489,275
NAM,2021,8964,89,
NAM,2022,7949,118,
PSE,2022,2134,0,0
PER,2022,34799,300,270
PRT,2022,8842,33,28
ROU,2021,38854,81,81
ROU,2022,29488,82,82
SVK,2022,2400,26,18
SVN,2022,1239,3,
ZAF,2022,352165,988,
ZAF,2021,441882,1083,
THA,2021,2212329,22456,
THA,2022,2222295,19876,
TTO,2021,1067,12,10
TTO,2022,1105,21,12
UGA,2022,12762,755,405
VEN,2022,2222,73,73
ZMB,2022,123655,1347,
