Year,value,category
2014,91354,a
2015,89873,a
2016,100283,a
2017,105095,a
2018,106528,a
2019,120266,a
2020,138591,a
2021,207785,a
2022,282184,a
2014,86455,b
2015,88347,b
2016,98473,b
2017,102554,b
2018,103018,b
2019,120095,b
2020,138463,b
2021,207666,b
2022,282184,b
2014,52240,c
2015,55223,c
2016,67064,c
2017,76115,c
2018,71925,c
2019,82821,c
2020,102600,c
2021,159745,c
2022,225883,c
2014,29448,d
2015,28325,d
2016,26260,d
2017,21834,d
2018,26743,d
2019,32796,d
2020,32124,d
2021,44255,d
2022,52774,d
